"","Year","cattle","mutton","goat","sheep","pig","fish","chicken","duck"
"1",2004,9588.56496,1141.41807,1698.2472,0,18958.3173,170317.86486,19043.22966,1468.00407
"2",2005,9150.93972,1283.48298,1639.46172,0,21084.39216,217104.57522,23321.50626,1590.47382
"3",2006,5911.2066,1405.95273,1768.46319,0,24120.00903,209415.10785,20863.94661,1378.19292
"4",2007,6084.29718,1379.82585,1706.41185,0,24015.50151,225091.23585,18940.35507,592.75359
"5",2008,6824.01447,1423.91496,1569.24573,0,21402.81351,184155.31368,18016.11669,711.95748
"6",2009,10199.28078,2119.54314,2351.4192,0,22529.53521,218615.03547,22707.52458,947.0994
"7",2010,13239.79644,2978.46432,3218.50503,0,31203.65937,240999.23991,25120.99512,796.86984
"8",2011,14343.65712,2181.59448,3051.94617,0,28367.25996,245520.82308,29110.24311,641.74149
"9",2012,12887.08356,1319.40744,1743.96924,0,22168.65768,183836.89233,26659.21518,529.06932
"10",2013,295032.89361,0,0,57226.03185,728494.16211,4963801.84209,1247583.01395,117877.95084
"11",2014,322861.28667,0,0,64071.27441,811451.9049,5239053.42168,1355651.95428,131968.50381
"12",2015,350867.6691,0,0,74368.53099,850939.41816,5476757.40885,1474153.68438,131352.8892
"13",2016,374295.31581,0,0,78823.16403,892252.54716,5681228.00466,1550687.48055,137429.02173
"14",2017,391215.73647,0,0,81783.66612,906369.22701,5706484.53297,1589776.55889,138483.89451
"15",2018,169594.47687,0,0,33235.02429,384159.84594,2260259.24982,665652.48399,62054.60586
